city_name,city_latitude,city_longitude
Chauteau Algoma Estates Mobile Home Park, 43.160560, -85.558890
Chauteau Norton Shores Mobile Home Park, 43.194440, -86.215280
Chauteau Torrey Hills Mobile Home Park, 42.947220, -83.732780
Cheboygan, 45.646960, -84.474480
Chelsea, 42.318070, -84.021810
Cherry Beach, 42.684760, -82.509630
Cherry Bend, 44.793610, -85.647580
Cherry Hill, 42.306150, -83.536050
Cherry Island, 46.091410, -83.755840
Cherryland Mobile Home Park, 44.729170, -85.597220
Cherrywood Village Mobile Home Park, 44.584720, -85.513890
Chesaning, 43.184750, -84.114970
Cheshire Center, 42.451700, -85.934470
Chester, 42.605870, -84.914710
Chesterfield, 42.662810, -82.842420
Chesterfield Shores, 42.670030, -82.761310
Chestonia, 45.060280, -85.077560
Cheviers, 44.568070, -83.736930
Chicagon, 46.095230, -88.507360
Chicken Islands, 46.306690, -84.127800
Chicora, 42.476700, -85.973640
Chief Lake, 44.348610, -86.102310
Childsdale, 43.104750, -85.580310
Chilson, 42.526980, -83.861610
Chimney Corners Resort, 44.689720, -86.207870
Chippers Island, 48.150150, -88.572010
Chippewa, 43.879440, -85.109720
Chippewa Beach, 45.440290, -84.639210
Chippewa Hills Trailer Court, 43.160000, -85.146110
Chippewa Lake, 43.743910, -85.297260
Chippewa Travel Trailer Park, 46.464440, -84.364440
Chippewa Vista, 43.738360, -85.099480
Chouteau Estates Macomb Mobile Home Park, 42.638330, -82.923330
Christmas, 46.436890, -86.701550
Chums Corner, 44.671950, -85.656460
Churchville, 46.518350, -84.123080
Cider Mill Village Mobile Home Community, 42.721390, -85.460560
Circle Drive Mobile Home Park, 43.647220, -85.451390
Circle Pine Center, 42.573920, -85.460570
Clam River, 44.945280, -85.280340
Clare, 43.819470, -84.768630
Clarence Center, 42.381150, -84.768040
Clarenceville, 42.448370, -83.337150
Clarendon, 42.130320, -84.865800
Clarion, 45.278340, -84.923380
Clark Bayshore, 44.246130, -83.539980
Clark Corners, 43.022800, -86.145050
Clark Island, 45.955020, -83.822500
Clark Island, 42.285320, -85.215830
Clarklake, 42.121430, -84.344950
Clarksburg, 46.491880, -87.852080
Clarkston, 42.708640, -83.439660
Clarksville, 42.842260, -85.242510
Clausedale, 43.292530, -84.059420
Claw Island, 46.094190, -83.802510
Clawson, 42.533370, -83.146320
Clay Island, 48.144600, -88.592290
Clays Landing, 42.551700, -82.604350
Clayton, 41.863380, -84.236330
Clifford, 43.314750, -83.179110
Clifton Mill, 42.785030, -83.086040
Climax, 42.238380, -85.334990
Clinton, 42.071990, -83.971610
