"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-10","4.2",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","14.3","H,,S","22.2",",,W","7.2",",,W","  130",",,W","  120",",,W","8.1",",,W","11.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-11","5.8",",,W",,,"26.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","16.6","H,,S","18.3",",,W","6.7",",,W","  260",",,W","  280",",,W","12.5",",,W","15.7",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-12","6.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","6.9","H,,S","9.4",",,W","3.9",",,W","  230",",,W","  210",",,W","10.3",",,W","14.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-13","6.4",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","8.2","H,,S","13.3",",,W","5.6",",,W","  250",",,W","  240",",,W","14.3",",,W","21.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-14","3.1",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","7.3","H,,S","10.6",",,W","1.1",",,W","  230",",,W","  220",",,W","7.6",",,W","9.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-15","3.8",",,W",,,"5.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","7.2","H,,S","16.1",",,W","0.0",",,W","  240",",,W","  250",",,W","9.8",",,W","13.4",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-16","7.2",",,W",,,"1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","10.2","H,,S","12.2",",,W","5.6",",,W","  310",",,W","  310",",,W","11.2",",,W","16.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-17","4.2",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","7.2","H,,S","11.7",",,W","3.3",",,W","  330",",,W","  340",",,W","8.1",",,W","11.6",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-18","1.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","6.3","H,,S","12.8",",,W","-0.5",",,W","  140",",,W","  140",",,W","3.6",",,W","4.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-10-19","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","8.6","H,,S","16.1",",,W","3.9",",,W","  150",",,W","  140",",,W","7.2",",,W","10.3",",,W"
